nsub,bloque,altura,condicion,itrial,distancia,respuesta
8.0,2.0,0.0,2.0,2.0,2.9,1.8
8.0,2.0,0.0,2.0,4.0,6.0,2.5
8.0,2.0,0.0,2.0,4.0,6.0,2.5
8.0,2.0,0.0,2.0,1.0,2.0,1.0
8.0,2.0,0.0,2.0,3.0,4.2,2.0
8.0,2.0,0.0,2.0,2.0,2.9,1.0
8.0,2.0,0.0,2.0,1.0,2.0,1.0
8.0,2.0,0.0,2.0,2.0,2.9,1.5
8.0,2.0,0.0,2.0,2.0,2.9,1.5
8.0,2.0,0.0,2.0,1.0,2.0,0.5
8.0,2.0,0.0,2.0,1.0,2.0,0.5
8.0,2.0,0.0,2.0,3.0,4.2,1.5
8.0,2.0,0.0,2.0,1.0,2.0,1.0
8.0,2.0,0.0,2.0,4.0,6.0,1.8
8.0,2.0,0.0,2.0,3.0,4.2,2.0
8.0,2.0,0.0,2.0,3.0,4.2,2.5
8.0,2.0,0.0,2.0,2.0,2.9,1.0
8.0,2.0,0.0,2.0,2.0,2.9,1.5
8.0,2.0,0.0,2.0,4.0,6.0,3.0
8.0,2.0,0.0,2.0,4.0,6.0,2.0
