nsub,bloque,altura,condicion,itrial,distancia,respuesta
2.0,0.0,0.0,0.0,2.0,2.9,3.0
2.0,0.0,0.0,0.0,4.0,6.0,4.0
2.0,0.0,0.0,0.0,3.0,4.2,4.0
2.0,0.0,0.0,0.0,4.0,6.0,4.0
2.0,0.0,0.0,0.0,4.0,6.0,5.0
2.0,0.0,0.0,0.0,1.0,2.0,2.0
2.0,0.0,0.0,0.0,1.0,2.0,2.0
2.0,0.0,0.0,0.0,3.0,4.2,3.0
2.0,0.0,0.0,0.0,3.0,4.2,3.0
2.0,0.0,0.0,0.0,1.0,2.0,2.0
2.0,0.0,0.0,0.0,2.0,2.9,3.0
2.0,0.0,0.0,0.0,2.0,2.9,4.0
2.0,0.0,0.0,0.0,1.0,2.0,1.5
2.0,0.0,0.0,0.0,2.0,2.9,3.0
2.0,0.0,0.0,0.0,3.0,4.2,4.5
2.0,0.0,0.0,0.0,4.0,6.0,4.5
2.0,0.0,0.0,0.0,2.0,2.9,3.0
2.0,0.0,0.0,0.0,4.0,6.0,3.5
2.0,0.0,0.0,0.0,3.0,4.2,3.5
2.0,0.0,0.0,0.0,2.0,2.9,3.0
