nsub,bloque,altura,condicion,itrial,distancia,respuesta
10.0,5.0,1.0,2.0,3.0,4.2,1.8
10.0,5.0,1.0,2.0,3.0,4.2,2.5
10.0,5.0,1.0,2.0,2.0,2.9,3.0
10.0,5.0,1.0,2.0,2.0,2.9,3.2
10.0,5.0,1.0,2.0,1.0,2.0,0.3
10.0,5.0,1.0,2.0,2.0,2.9,1.5
10.0,5.0,1.0,2.0,4.0,6.0,2.0
10.0,5.0,1.0,2.0,1.0,2.0,1.5
10.0,5.0,1.0,2.0,1.0,2.0,0.8
10.0,5.0,1.0,2.0,3.0,4.2,2.5
10.0,5.0,1.0,2.0,2.0,2.9,1.5
10.0,5.0,1.0,2.0,3.0,4.2,2.5
10.0,5.0,1.0,2.0,1.0,2.0,1.0
10.0,5.0,1.0,2.0,4.0,6.0,2.0
10.0,5.0,1.0,2.0,2.0,2.9,1.0
10.0,5.0,1.0,2.0,4.0,6.0,1.7
10.0,5.0,1.0,2.0,3.0,4.2,2.0
10.0,5.0,1.0,2.0,4.0,6.0,2.5
10.0,5.0,1.0,2.0,4.0,6.0,1.5
10.0,5.0,1.0,2.0,3.0,4.2,2.0
