nsub,bloque,altura,condicion,itrial,distancia,respuesta
5.0,0.0,0.0,0.0,1.0,2.0,2.0
5.0,0.0,0.0,0.0,4.0,6.0,15.0
5.0,0.0,0.0,0.0,2.0,2.9,10.0
5.0,0.0,0.0,0.0,1.0,2.0,3.0
5.0,0.0,0.0,0.0,3.0,4.2,8.0
5.0,0.0,0.0,0.0,3.0,4.2,10.0
5.0,0.0,0.0,0.0,4.0,6.0,11.0
5.0,0.0,0.0,0.0,4.0,6.0,12.0
5.0,0.0,0.0,0.0,1.0,2.0,5.0
5.0,0.0,0.0,0.0,1.0,2.0,4.0
5.0,0.0,0.0,0.0,1.0,2.0,3.0
5.0,0.0,0.0,0.0,3.0,4.2,13.0
5.0,0.0,0.0,0.0,2.0,2.9,14.0
5.0,0.0,0.0,0.0,3.0,4.2,15.0
5.0,0.0,0.0,0.0,1.0,2.0,5.0
5.0,0.0,0.0,0.0,2.0,2.9,7.0
5.0,0.0,0.0,0.0,2.0,2.9,6.0
5.0,0.0,0.0,0.0,3.0,4.2,14.0
5.0,0.0,0.0,0.0,2.0,2.9,9.0
5.0,0.0,0.0,0.0,4.0,6.0,16.0
