nsub,bloque,altura,condicion,itrial,distancia,respuesta
5.0,2.0,0.0,2.0,3.0,4.2,10.0
5.0,2.0,0.0,2.0,3.0,4.2,18.0
5.0,2.0,0.0,2.0,2.0,2.9,16.0
5.0,2.0,0.0,2.0,2.0,2.9,5.0
5.0,2.0,0.0,2.0,1.0,2.0,3.0
5.0,2.0,0.0,2.0,1.0,2.0,4.0
5.0,2.0,0.0,2.0,1.0,2.0,6.0
5.0,2.0,0.0,2.0,3.0,4.2,10.0
5.0,2.0,0.0,2.0,1.0,2.0,5.0
5.0,2.0,0.0,2.0,3.0,4.2,10.0
5.0,2.0,0.0,2.0,3.0,4.2,13.0
5.0,2.0,0.0,2.0,2.0,2.9,5.0
5.0,2.0,0.0,2.0,4.0,6.0,13.0
5.0,2.0,0.0,2.0,2.0,2.9,8.0
5.0,2.0,0.0,2.0,4.0,6.0,11.0
5.0,2.0,0.0,2.0,1.0,2.0,5.0
5.0,2.0,0.0,2.0,2.0,2.9,3.0
5.0,2.0,0.0,2.0,4.0,6.0,10.0
5.0,2.0,0.0,2.0,3.0,4.2,17.0
5.0,2.0,0.0,2.0,4.0,6.0,11.0
