nsub,bloque,altura,condicion,itrial,distancia,respuesta
11.0,3.0,1.0,0.0,2.0,2.9,2.5
11.0,3.0,1.0,0.0,3.0,4.2,3.0
11.0,3.0,1.0,0.0,1.0,2.0,1.5
11.0,3.0,1.0,0.0,3.0,4.2,2.0
11.0,3.0,1.0,0.0,3.0,4.2,2.0
11.0,3.0,1.0,0.0,1.0,2.0,1.0
11.0,3.0,1.0,0.0,1.0,2.0,1.0
11.0,3.0,1.0,0.0,3.0,4.2,2.0
11.0,3.0,1.0,0.0,2.0,2.9,2.0
11.0,3.0,1.0,0.0,4.0,6.0,2.5
11.0,3.0,1.0,0.0,4.0,6.0,2.5
11.0,3.0,1.0,0.0,1.0,2.0,1.0
11.0,3.0,1.0,0.0,4.0,6.0,2.0
11.0,3.0,1.0,0.0,4.0,6.0,2.0
11.0,3.0,1.0,0.0,3.0,4.2,2.0
11.0,3.0,1.0,0.0,2.0,2.9,1.5
11.0,3.0,1.0,0.0,2.0,2.9,1.5
11.0,3.0,1.0,0.0,2.0,2.9,2.0
11.0,3.0,1.0,0.0,4.0,6.0,2.5
11.0,3.0,1.0,0.0,1.0,2.0,1.0
