nsub,bloque,altura,condicion,itrial,distancia,respuesta
21.0,3.0,1.0,0.0,4.0,6.0,7.0
21.0,3.0,1.0,0.0,2.0,2.9,4.0
21.0,3.0,1.0,0.0,3.0,4.2,5.0
21.0,3.0,1.0,0.0,1.0,2.0,1.0
21.0,3.0,1.0,0.0,3.0,4.2,8.0
21.0,3.0,1.0,0.0,2.0,2.9,10.0
21.0,3.0,1.0,0.0,2.0,2.9,5.0
21.0,3.0,1.0,0.0,1.0,2.0,0.5
21.0,3.0,1.0,0.0,3.0,4.2,10.0
21.0,3.0,1.0,0.0,2.0,2.9,3.0
21.0,3.0,1.0,0.0,1.0,2.0,2.0
21.0,3.0,1.0,0.0,4.0,6.0,8.0
21.0,3.0,1.0,0.0,4.0,6.0,12.0
21.0,3.0,1.0,0.0,1.0,2.0,1.0
21.0,3.0,1.0,0.0,2.0,2.9,6.0
21.0,3.0,1.0,0.0,3.0,4.2,9.0
21.0,3.0,1.0,0.0,3.0,4.2,11.0
21.0,3.0,1.0,0.0,4.0,6.0,13.0
21.0,3.0,1.0,0.0,4.0,6.0,14.0
21.0,3.0,1.0,0.0,1.0,2.0,2.0
