"nsub" "bloque" "altura" "condicion" "trial" "distancia" "respuesta" "condicion_posicion" "condicion_sonido"
2 5 1 2 1 2 1.5 "CABEZA" "ROVED"
2 5 1 2 3 4.2 0.4 "CABEZA" "ROVED"
2 5 1 2 2 2.9 0.5 "CABEZA" "ROVED"
2 5 1 2 4 6 1.6 "CABEZA" "ROVED"
2 5 1 2 4 6 1 "CABEZA" "ROVED"
2 5 1 2 1 2 1.4 "CABEZA" "ROVED"
2 5 1 2 2 2.9 1.5 "CABEZA" "ROVED"
2 5 1 2 2 2.9 1 "CABEZA" "ROVED"
2 5 1 2 2 2.9 1.6 "CABEZA" "ROVED"
2 5 1 2 1 2 0.4 "CABEZA" "ROVED"
2 5 1 2 3 4.2 1.3 "CABEZA" "ROVED"
2 5 1 2 3 4.2 1.6 "CABEZA" "ROVED"
2 5 1 2 2 2.9 1 "CABEZA" "ROVED"
2 5 1 2 3 4.2 1.6 "CABEZA" "ROVED"
2 5 1 2 4 6 1.6 "CABEZA" "ROVED"
2 5 1 2 4 6 1 "CABEZA" "ROVED"
2 5 1 2 4 6 1 "CABEZA" "ROVED"
2 5 1 2 1 2 1.4 "CABEZA" "ROVED"
2 0 0 0 2 2.9 1 "PISO" "NORMAL"
2 0 0 0 4 6 1.5 "PISO" "NORMAL"
2 0 0 0 3 4.2 1.4 "PISO" "NORMAL"
2 0 0 0 4 6 1.5 "PISO" "NORMAL"
2 0 0 0 4 6 1.5 "PISO" "NORMAL"
2 0 0 0 1 2 0.5 "PISO" "NORMAL"
2 0 0 0 1 2 1 "PISO" "NORMAL"
2 0 0 0 3 4.2 1.8 "PISO" "NORMAL"
2 0 0 0 3 4.2 1.8 "PISO" "NORMAL"
2 0 0 0 1 2 0.6 "PISO" "NORMAL"
2 0 0 0 2 2.9 1 "PISO" "NORMAL"
2 0 0 0 2 2.9 1 "PISO" "NORMAL"
2 0 0 0 1 2 0.7 "PISO" "NORMAL"
2 0 0 0 2 2.9 0.5 "PISO" "NORMAL"
2 0 0 0 3 4.2 1.2 "PISO" "NORMAL"
2 0 0 0 4 6 1.5 "PISO" "NORMAL"
2 0 0 0 2 2.9 1 "PISO" "NORMAL"
2 0 0 0 4 6 1.6 "PISO" "NORMAL"
2 0 0 0 3 4.2 1.5 "PISO" "NORMAL"
2 0 0 0 2 2.9 1.2 "PISO" "NORMAL"
2 2 0 2 4 6 1.7 "PISO" "ROVED"
2 2 0 2 3 4.2 1 "PISO" "ROVED"
2 2 0 2 2 2.9 0.7 "PISO" "ROVED"
2 2 0 2 3 4.2 1.5 "PISO" "ROVED"
2 2 0 2 3 4.2 1.3 "PISO" "ROVED"
2 2 0 2 4 6 1.8 "PISO" "ROVED"
2 2 0 2 4 6 0.5 "PISO" "ROVED"
2 2 0 2 1 2 1.5 "PISO" "ROVED"
2 2 0 2 1 2 1 "PISO" "ROVED"
2 2 0 2 3 4.2 1.7 "PISO" "ROVED"
2 2 0 2 4 6 1.5 "PISO" "ROVED"
2 2 0 2 2 2.9 1 "PISO" "ROVED"
2 2 0 2 3 4.2 1.6 "PISO" "ROVED"
2 2 0 2 2 2.9 1.7 "PISO" "ROVED"
2 2 0 2 4 6 0.5 "PISO" "ROVED"
2 2 0 2 1 2 1.3 "PISO" "ROVED"
2 2 0 2 2 2.9 1.4 "PISO" "ROVED"
2 2 0 2 1 2 1.2 "PISO" "ROVED"
2 2 0 2 4 6 0.7 "PISO" "ROVED"
2 2 0 2 2 2.9 1.3 "PISO" "ROVED"
3 3 1 0 2 2.9 3 "CABEZA" "NORMAL"
3 3 1 0 4 6 0.07 "CABEZA" "NORMAL"
3 3 1 0 2 2.9 4 "CABEZA" "NORMAL"
3 3 1 0 3 4.2 1 "CABEZA" "NORMAL"
3 3 1 0 3 4.2 5 "CABEZA" "NORMAL"
3 3 1 0 2 2.9 7 "CABEZA" "NORMAL"
3 3 1 0 2 2.9 0.06 "CABEZA" "NORMAL"
3 3 1 0 3 4.2 0.11 "CABEZA" "NORMAL"
3 3 1 0 1 2 0.1 "CABEZA" "NORMAL"
3 3 1 0 4 6 7 "CABEZA" "NORMAL"
3 3 1 0 1 2 2 "CABEZA" "NORMAL"
3 3 1 0 4 6 13 "CABEZA" "NORMAL"
3 3 1 0 4 6 15 "CABEZA" "NORMAL"
3 3 1 0 1 2 14 "CABEZA" "NORMAL"
3 3 1 0 3 4.2 13 "CABEZA" "NORMAL"
3 3 1 0 1 2 17 "CABEZA" "NORMAL"
3 3 1 0 4 6 20 "CABEZA" "NORMAL"
3 3 1 0 1 2 7 "CABEZA" "NORMAL"
3 3 1 0 3 4.2 4 "CABEZA" "NORMAL"
3 3 1 0 2 2.9 3 "CABEZA" "NORMAL"
3 5 1 2 4 6 7 "CABEZA" "ROVED"
3 5 1 2 1 2 3 "CABEZA" "ROVED"
3 5 1 2 4 6 5 "CABEZA" "ROVED"
3 5 1 2 2 2.9 7 "CABEZA" "ROVED"
3 5 1 2 2 2.9 4 "CABEZA" "ROVED"
3 5 1 2 3 4.2 2 "CABEZA" "ROVED"
3 5 1 2 1 2 9 "CABEZA" "ROVED"
3 5 1 2 1 2 8 "CABEZA" "ROVED"
3 5 1 2 1 2 6 "CABEZA" "ROVED"
3 5 1 2 2 2.9 3 "CABEZA" "ROVED"
3 5 1 2 4 6 7 "CABEZA" "ROVED"
3 5 1 2 4 6 6 "CABEZA" "ROVED"
3 5 1 2 3 4.2 10 "CABEZA" "ROVED"
3 5 1 2 3 4.2 2 "CABEZA" "ROVED"
3 5 1 2 3 4.2 12 "CABEZA" "ROVED"
3 5 1 2 1 2 13 "CABEZA" "ROVED"
3 5 1 2 4 6 2 "CABEZA" "ROVED"
3 5 1 2 4 6 15 "CABEZA" "ROVED"
3 5 1 2 2 2.9 5 "CABEZA" "ROVED"
3 5 1 2 3 4.2 14 "CABEZA" "ROVED"
3 0 0 0 3 4.2 4 "PISO" "NORMAL"
3 0 0 0 2 2.9 2 "PISO" "NORMAL"
3 0 0 0 1 2 3 "PISO" "NORMAL"
3 0 0 0 3 4.2 1 "PISO" "NORMAL"
3 0 0 0 4 6 6 "PISO" "NORMAL"
3 0 0 0 2 2.9 7 "PISO" "NORMAL"
3 0 0 0 4 6 10 "PISO" "NORMAL"
3 0 0 0 4 6 12 "PISO" "NORMAL"
3 0 0 0 1 2 1 "PISO" "NORMAL"
3 0 0 0 2 2.9 3 "PISO" "NORMAL"
3 0 0 0 1 2 2 "PISO" "NORMAL"
3 0 0 0 3 4.2 4 "PISO" "NORMAL"
3 0 0 0 1 2 1 "PISO" "NORMAL"
3 0 0 0 3 4.2 6 "PISO" "NORMAL"
3 0 0 0 4 6 4 "PISO" "NORMAL"
3 0 0 0 4 6 6 "PISO" "NORMAL"
3 0 0 0 2 2.9 2 "PISO" "NORMAL"
3 0 0 0 3 4.2 5 "PISO" "NORMAL"
3 0 0 0 1 2 1 "PISO" "NORMAL"
3 0 0 0 3 4.2 2 "PISO" "NORMAL"
3 2 0 2 1 2 4 "PISO" "ROVED"
3 2 0 2 4 6 2 "PISO" "ROVED"
