subject,block,condition,target_distance,type,location,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
T003,3,Ear level,2.9,NORMAL,sitting,0.7071067811865476,0.31622776601683794,0.5,5,3,0.24382992454708535,0.1090440572471855,0.059453032104637336,5,0.03448275862068969,0.17172275307570664,0.07679674983213823,0.029488703923900114,5,0.15862068965517243,0.7071067811865476,0.31622776601683794,0.5,5
T004,3,Ear level,2.9,NORMAL,sitting,0.27386127875258304,0.12247448713915889,0.075,5,1.7,0.09443492370778726,0.04223258177212376,0.008917954815695602,5,-0.4137931034482758,0.09443492370778726,0.04223258177212376,0.008917954815695602,5,0.4137931034482758,0.27386127875258304,0.12247448713915889,0.075,5
T006,3,Ear level,2.9,NORMAL,sitting,1.6733200530681511,0.7483314773547882,2.8,5,6.6,0.5770069148510866,0.2580453370188925,0.3329369797859691,5,1.2758620689655171,0.5770069148510866,0.2580453370188925,0.3329369797859691,5,1.2758620689655171,1.673320053068151,0.7483314773547881,2.7999999999999994,5
T007,3,Ear level,2.9,NORMAL,sitting,0.8366600265340756,0.3741657386773941,0.7,5,2.2,0.2885034574255433,0.12902266850944624,0.08323424494649227,5,-0.24137931034482754,0.25619552580698907,0.11457412224714583,0.0656361474435196,5,0.2689655172413793,0.8366600265340756,0.3741657386773941,0.7,5
T008,3,Ear level,2.9,NORMAL,sitting,0.8197560612767679,0.3666060555964672,0.672,5,1.72,0.28267450388854065,0.1264158812401611,0.07990487514863258,5,-0.4068965517241379,0.25619552580698907,0.11457412224714583,0.0656361474435196,5,0.4206896551724138,0.8197560612767679,0.3666060555964672,0.672,5
T009,3,Ear level,2.9,NORMAL,sitting,0.7071067811865476,0.31622776601683794,0.5,5,1.5,0.24382992454708535,0.1090440572471855,0.059453032104637336,5,-0.48275862068965514,0.24382992454708535,0.1090440572471855,0.059453032104637336,5,0.48275862068965514,0.7071067811865476,0.31622776601683794,0.5,5
T010,3,Ear level,2.9,NORMAL,sitting,1,0.44721359549995793,1,5,3.5,0.3448275862068966,0.1542115846551579,0.11890606420927467,5,0.20689655172413796,0.29421695183036606,0.13157782088509593,0.08656361474435195,5,0.2620689655172414,1,0.44721359549995793,1,5
T011,3,Ear level,2.9,NORMAL,sitting,0.4183300132670378,0.18708286933869706,0.175,5,1.9,0.14425172871277164,0.06451133425472312,0.020808561236623068,5,-0.3448275862068965,0.14425172871277164,0.06451133425472312,0.020808561236623068,5,0.3448275862068965,0.4183300132670378,0.18708286933869706,0.175,5
T012,3,Ear level,2.9,NORMAL,sitting,1.51657508881031,0.6782329983125267,2.3,5,5.6,0.522956927175969,0.23387344769397475,0.2734839476813317,5,0.9310344827586208,0.522956927175969,0.23387344769397475,0.2734839476813317,5,0.9310344827586208,1.51657508881031,0.6782329983125267,2.2999999999999994,5
T013,3,Ear level,2.9,NORMAL,sitting,0.27386127875258304,0.12247448713915889,0.075,5,0.8,0.09443492370778726,0.04223258177212376,0.008917954815695602,5,-0.7241379310344828,0.09443492370778726,0.04223258177212376,0.008917954815695602,5,0.7241379310344828,0.27386127875258304,0.12247448713915889,0.075,5
T001,0,Floor level,2.9,NORMAL,sitting,0.5477225575051661,0.22360679774997896,0.3,6,1.5,0.18886984741557453,0.07710579232757897,0.03567181926278241,6,-0.48275862068965514,0.18886984741557453,0.07710579232757897,0.03567181926278241,6,0.48275862068965514,0.5477225575051661,0.22360679774997896,0.3,6
