subject,block,condition,target_distance,type,location,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_mean,log_bias_sd_un,log_bias_sem_un,log_bias_var_un,log_bias_n_un,log_bias_un_mean,antilog_bias_sd,antilog_bias_sem,antilog_bias_var,antilog_bias_n,antilog_bias_mean,absantilog_bias_sd,absantilog_bias_sem,absantilog_bias_var,absantilog_bias_n,absantilog_bias_mean,antilog_bias_sd_un,antilog_bias_sem_un,antilog_bias_var_un,antilog_bias_n_un,antilog_bias_un_mean,antilog_bias_sd_un_p,antilog_bias_sem_un_p,antilog_bias_var_un_p,antilog_bias_n_un_p,antilog_bias_un_p_mean,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,abs_bias_mean
T011,3,Ear level,2,NORMAL,sitting,0.22360679774997896,0.09999999999999999,0.05,5,1.1,0.11180339887498948,0.049999999999999996,0.0125,5,-0.45,0.11180339887498948,0.049999999999999996,0.0125,5,0.45,0.07875040509840574,0.03521825181113625,0.006201626303163009,5,-0.26581174385284495,0.07875040509840574,0.03521825181113625,0.006201626303163009,5,0.26581174385284495,0.11180339887498948,0.049999999999999996,0.0125,5,-0.45,0.11180339887498948,0.049999999999999996,0.0125,5,0.45,0.29814239699997197,0.13333333333333333,0.0888888888888889,5,1.8666666666666667,0.29814239699997197,0.13333333333333333,0.0888888888888889,5,0.8666666666666667,0.22360679774997896,0.09999999999999999,0.05,5,-0.9
T012,3,Ear level,2,NORMAL,sitting,0.44721359549995793,0.19999999999999998,0.2,5,3.2,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.05587430161582005,0.02498774732165999,0.0031219375810556307,5,0.20107900637734122,0.05587430161582005,0.02498774732165999,0.0031219375810556307,5,0.20107900637734122,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.22360679774997896,0.09999999999999999,0.05,5,1.6,0.22360679774997896,0.09999999999999999,0.05,5,0.6,0.44721359549995793,0.19999999999999998,0.2,5,1.2
T013,3,Ear level,2,NORMAL,sitting,0.19493588689617924,0.08717797887081345,0.03799999999999999,5,0.44,0.09746794344808964,0.04358898943540673,0.0095,5,-0.78,0.09746794344808964,0.04358898943540673,0.0095,5,0.78,0.21450852255254774,0.09593112763610868,0.04601390624767688,5,-0.6967921358499936,0.21450852255254774,0.09593112763610868,0.04601390624767688,5,0.6967921358499936,0.09746794344808964,0.04358898943540673,0.0095,5,-0.78,0.09746794344808964,0.04358898943540673,0.0095,5,0.78,2.876442751471743,1.28638430513547,8.27392290249433,5,5.504761904761905,2.876442751471743,1.28638430513547,8.27392290249433,5,4.504761904761905,0.19493588689617927,0.08717797887081347,0.038,5,-1.56
T014,3,Ear level,2,NORMAL,sitting,0.44721359549995793,0.19999999999999998,0.2,5,1.2,0.22360679774997896,0.09999999999999999,0.05,5,-0.4,0.22360679774997896,0.09999999999999999,0.05,5,0.4,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,-0.24082399653118497,0.13462470671422577,0.060205999132796235,0.018123811657891307,5,0.24082399653118497,0.22360679774997896,0.09999999999999999,0.05,5,-0.4,0.22360679774997896,0.09999999999999999,0.05,5,0.4,0.44721359549995793,0.19999999999999998,0.2,5,1.8,0.44721359549995793,0.19999999999999998,0.2,5,0.8,0.44721359549995793,0.19999999999999998,0.2,5,-0.8
T015,3,Ear level,2,NORMAL,sitting,0,0,0,5,0.1,0,0,0,5,-0.95,0,0,0,5,0.95,0,0,0,5,-1.3010299956639813,0,0,0,5,1.3010299956639813,0,0,0,5,-0.95,0,0,0,5,0.95,0,0,0,5,20.000000000000004,0,0,0,5,19.000000000000004,0,0,0,5,-1.9
T016,3,Ear level,2,NORMAL,sitting,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.27386127875258304,0.12247448713915889,0.075,5,-0.3,0.27386127875258304,0.12247448713915889,0.075,5,0.3,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,-0.1806179973983887,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,0.1806179973983887,0.27386127875258304,0.12247448713915889,0.075,5,-0.3,0.27386127875258304,0.12247448713915889,0.075,5,0.3,0.5477225575051661,0.24494897427831777,0.3,5,1.6,0.5477225575051661,0.24494897427831777,0.3,5,0.6,0.5477225575051661,0.24494897427831777,0.3,5,-0.6
T017,3,Ear level,2,NORMAL,sitting,0.5477225575051661,0.24494897427831777,0.3,5,2.4,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.09644915476428247,0.04313337328506666,0.009302439454744512,5,0.0704365036222725,0.09644915476428247,0.04313337328506666,0.009302439454744512,5,0.0704365036222725,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.27386127875258304,0.12247448713915889,0.075,5,1.2,0.27386127875258304,0.12247448713915889,0.075,5,0.2,0.5477225575051661,0.24494897427831777,0.3,5,0.4
T018,3,Ear level,2,NORMAL,sitting,0.6123724356957945,0.27386127875258304,0.375,5,1.5,0.30618621784789724,0.13693063937629152,0.09375,5,-0.25,0.13693063937629152,0.06123724356957944,0.01875,5,0.35,0.16419177240040753,0.073428792886697,0.026958938123987225,5,-0.15100549030730118,0.10220902098041247,0.0457092637651809,0.010446683969774396,5,0.18976949551052374,0.30618621784789724,0.13693063937629152,0.09375,5,-0.25,0.13693063937629152,0.06123724356957944,0.01875,5,0.35,0.3818813079129867,0.17078251276599332,0.14583333333333334,5,1.5833333333333333,0.3818813079129867,0.17078251276599332,0.14583333333333334,5,0.5833333333333333,0.6123724356957945,0.27386127875258304,0.375,5,-0.5
T019,3,Ear level,2,NORMAL,sitting,0.7127411872482184,0.31874754901018454,0.508,5,0.74,0.3563705936241092,0.15937377450509227,0.127,5,-0.63,0.3563705936241092,0.15937377450509227,0.127,5,0.63,0.32505388989558515,0.14536851883145208,0.10566003133625118,5,-0.5489454989793388,0.32505388989558515,0.14536851883145208,0.10566003133625118,5,0.5489454989793388,0.3563705936241092,0.15937377450509227,0.127,5,-0.63,0.3563705936241092,0.15937377450509227,0.127,5,0.63,2.1421692017412837,0.9580071908799942,4.588888888888889,5,4.2,2.1421692017412837,0.9580071908799942,4.588888888888889,5,3.1999999999999997,0.7127411872482184,0.31874754901018454,0.508,5,-1.26
T020,3,Ear level,2,NORMAL,sitting,1.224744871391589,0.5477225575051661,1.5,5,2,0.6123724356957945,0.27386127875258304,0.375,5,0,0.4183300132670378,0.18708286933869706,0.175,5,0.4,0.2518597641597791,0.11263511069166626,0.06343334080261957,5,-0.06020599913279624,0.16488091911084485,0.07373698866489865,0.02718571748683696,5,0.1806179973983887,0.6123724356957945,0.27386127875258304,0.375,5,0,0.4183300132670378,0.18708286933869706,0.175,5,0.4,0.5477225575051661,0.24494897427831777,0.3,5,1.6,0.5477225575051661,0.24494897427831777,0.3,5,0.6,1.224744871391589,0.5477225575051661,1.5,5,0
T021,3,Ear level,2,NORMAL,sitting,0.6708203932499369,0.3,0.45,5,1.3,0.33541019662496846,0.15,0.1125,5,-0.35,0.33541019662496846,0.15,0.1125,5,0.35,0.2518597641597791,0.11263511069166626,0.06343334080261957,5,-0.24082399653118497,0.2518597641597791,0.11263511069166626,0.06343334080261957,5,0.24082399653118497,0.33541019662496846,0.15,0.1125,5,-0.35,0.33541019662496846,0.15,0.1125,5,0.35,1.224744871391589,0.5477225575051661,1.5,5,2,1.224744871391589,0.5477225575051661,1.5,5,1,0.6708203932499369,0.3,0.45,5,-0.7
T001,0,Floor level,2,NORMAL,sitting,0,0,0,4,1,0,0,0,4,-0.5,0,0,0,4,0.5,0,0,0,4,-0.3010299956639812,0,0,0,4,0.3010299956639812,0,0,0,4,-0.5,0,0,0,4,0.5,0,0,0,4,2,0,0,0,4,1,0,0,0,4,-1
T002,0,Floor level,2,NORMAL,sitting,0.25,0.125,0.0625,4,1.875,0.125,0.0625,0.015625,4,-0.0625,0.125,0.0625,0.015625,4,0.0625,0.06246936830414997,0.031234684152074987,0.0039024219763195375,4,-0.031234684152074987,0.06246936830414997,0.031234684152074987,0.0039024219763195375,4,0.031234684152074987,0.125,0.0625,0.015625,4,-0.0625,0.125,0.0625,0.015625,4,0.0625,0.16666666666666663,0.08333333333333331,0.027777777777777766,4,1.0833333333333333,0.16666666666666663,0.08333333333333331,0.027777777777777766,4,0.08333333333333331,0.25,0.125,0.0625,4,-0.125
T003,0,Floor level,2,NORMAL,sitting,0.535723809439155,0.2395829710142188,0.28700000000000003,5,1.18,0.2678619047195775,0.1197914855071094,0.07175000000000001,5,-0.41,0.22527760652137618,0.1007472083980494,0.050749999999999997,5,0.43,0.1737967714091598,0.07772427902817465,0.03020531775224775,5,-0.25928799168270095,0.15691204438227271,0.07017319954544515,0.024621389672224322,5,0.2677637113106762,0.2678619047195775,0.1197914855071094,0.07175000000000001,5,-0.41,0.22527760652137618,0.1007472083980494,0.050749999999999997,5,0.43,0.6432655792892993,0.2876771125753308,0.41379060549839775,5,1.9450649350649352,0.6432655792892993,0.2876771125753308,0.41379060549839775,5,0.945064935064935,0.535723809439155,0.2395829710142188,0.28700000000000003,5,-0.82
T004,0,Floor level,2,NORMAL,sitting,0.1604680653588121,0.07176350047203661,0.02575,5,0.22,0.08023403267940607,0.03588175023601831,0.0064375000000000005,5,-0.89,0.08023403267940607,0.03588175023601831,0.0064375000000000005,5,0.89,0.26244755467777925,0.11737011455762146,0.06887871895634594,5,-1.0305934920417088,0.26244755467777925,0.11737011455762146,0.06887871895634594,5,1.0305934920417088,0.08023403267940607,0.03588175023601831,0.0064375000000000005,5,-0.89,0.08023403267940607,0.03588175023601831,0.0064375000000000005,5,0.89,5.819507424745386,2.6025628394590847,33.86666666666668,5,12.133333333333333,5.819507424745386,2.6025628394590847,33.86666666666668,5,11.133333333333333,0.16046806535881214,0.07176350047203663,0.025750000000000002,5,-1.78
T005,0,Floor level,2,NORMAL,sitting,1.2110601416389966,0.4944132324730442,1.4666666666666666,6,3.6666666666666665,0.6055300708194983,0.2472066162365221,0.36666666666666664,6,0.8333333333333334,0.6055300708194983,0.2472066162365221,0.36666666666666664,6,0.8333333333333334,0.1545118949254126,0.06307921695963173,0.023873925673441737,6,0.2415154218532365,0.1545118949254126,0.06307921695963173,0.023873925673441737,6,0.2415154218532365,0.6055300708194983,0.2472066162365221,0.36666666666666664,6,0.8333333333333334,0.6055300708194983,0.2472066162365221,0.36666666666666664,6,0.8333333333333334,0.6055300708194983,0.2472066162365221,0.36666666666666664,6,1.8333333333333333,0.6055300708194983,0.2472066162365221,0.36666666666666664,6,0.8333333333333334,1.2110601416389966,0.4944132324730442,1.4666666666666666,6,1.6666666666666667
T006,0,Floor level,2,NORMAL,sitting,0.5,0.25,0.25,4,1.75,0.25,0.125,0.0625,4,-0.125,0.25,0.125,0.0625,4,0.125,0.1505149978319906,0.0752574989159953,0.022654764572364136,4,-0.0752574989159953,0.1505149978319906,0.0752574989159953,0.022654764572364136,4,0.0752574989159953,0.25,0.125,0.0625,4,-0.125,0.25,0.125,0.0625,4,0.125,0.5,0.25,0.25,4,1.25,0.5,0.25,0.25,4,0.25,0.5,0.25,0.25,4,-0.25
