subject,block,condition,target_distance,type,location,log_bias,log_bias_un,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_sd_un,log_bias_sem_un,log_bias_var_un,log_bias_n_un,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,slope,intercepto
S004,2,Floor level,2,ROVED,standing,-0.3010299956639812,0.3010299956639812,0,0,0,5,1,0,0,0,5,-0.5,0,0,0,5,0.5,0,0,0,5,0,0,0,5,0,0,0,5,0.4101271069356178,0.408020171318042
S004,2,Floor level,2.9,ROVED,standing,-0.23703424488039565,0.23703424488039565,0.5244044240850758,0.21408720964441885,0.275,6,1.75,0.1808291117534744,0.07382317573945477,0.032699167657550536,6,-0.396551724137931,0.1808291117534744,0.07382317573945477,0.032699167657550536,6,0.396551724137931,0.13919605099626955,0.056826549858547744,0.01937554061295607,6,0.13919605099626955,0.056826549858547744,0.01937554061295607,6,0.5244044240850758,0.21408720964441885,0.275,6,0.4101271069356178,0.408020171318042
S004,2,Floor level,4.2,ROVED,standing,-0.24953678497787699,0.24953678497787699,0.25,0.125,0.0625,4,2.375,0.059523809523809534,0.029761904761904767,0.0035430839002267584,4,-0.43452380952380953,0.059523809523809534,0.029761904761904767,0.0035430839002267584,4,0.43452380952380953,0.04845500650402822,0.02422750325201411,0.0023478876553054166,4,0.04845500650402822,0.02422750325201411,0.0023478876553054166,4,0.25,0.125,0.0625,4,0.4101271069356178,0.408020171318042
S004,2,Floor level,6,ROVED,standing,-0.3520844966846424,0.3520844966846424,0.44721359549995793,0.19999999999999998,0.2,5,2.7,0.07453559924999298,0.033333333333333326,0.005555555555555554,5,-0.55,0.07453559924999298,0.033333333333333326,0.005555555555555554,5,0.55,0.07785401542169494,0.03481737416084537,0.006061247717281514,5,0.07785401542169494,0.03481737416084537,0.006061247717281514,5,0.44721359549995793,0.19999999999999998,0.2,5,0.4101271069356178,0.408020171318042
S004,3,Ear level,2,NORMAL,standing,0.11904411335953138,0.11904411335953138,0.6708203932499369,0.3,0.45,5,2.7,0.33541019662496846,0.15,0.1125,5,0.35,0.33541019662496846,0.15,0.1125,5,0.35,0.11205607024285533,0.05011299807090317,0.012556562878271728,5,0.11205607024285533,0.05011299807090317,0.012556562878271728,5,0.6708203932499369,0.3,0.45,5,0.09311964631113585,2.3734733351754613
S004,3,Ear level,2.9,NORMAL,standing,-0.07154949601109108,0.08332810146765618,0.5,0.22360679774997896,0.25,5,2.5,0.17241379310344826,0.07710579232757894,0.029726516052318665,5,-0.1379310344827586,0.13879042618964207,0.06206896551724136,0.019262782401902486,5,0.16551724137931034,0.08813483044659826,0.039415094412802366,0.007767748337850624,5,0.07407729540417253,0.033128373622612506,0.005487445694397041,5,0.5,0.22360679774997896,0.25,5,0.09311964631113585,2.3734733351754613
S004,3,Ear level,4.2,NORMAL,standing,-0.19718253669889924,0.19718253669889924,0.44721359549995793,0.19999999999999998,0.2,5,2.7,0.10647942749998998,0.047619047619047616,0.011337868480725622,5,-0.35714285714285715,0.10647942749998998,0.047619047619047616,0.011337868480725622,5,0.35714285714285715,0.07785401542169497,0.03481737416084538,0.0060612477172815185,5,0.07785401542169497,0.03481737416084538,0.0060612477172815185,5,0.44721359549995793,0.19999999999999998,0.2,5,0.09311964631113585,2.3734733351754613
S004,3,Ear level,6,NORMAL,standing,-0.3059237782307858,0.3059237782307858,0.5,0.22360679774997896,0.25,5,3,0.08333333333333334,0.037267799624996496,0.006944444444444446,5,-0.5,0.08333333333333334,0.037267799624996496,0.006944444444444446,5,0.5,0.0731152159197119,0.03269811859721012,0.005345834798986092,5,0.0731152159197119,0.03269811859721012,0.005345834798986092,5,0.5,0.22360679774997896,0.25,5,0.09311964631113585,2.3734733351754613
S004,5,Ear level,2,ROVED,standing,0.11535509663428556,0.11535509663428556,0.6055300708194983,0.2472066162365221,0.36666666666666664,6,2.6666666666666665,0.30276503540974914,0.12360330811826105,0.09166666666666666,6,0.3333333333333333,0.30276503540974914,0.12360330811826105,0.09166666666666666,6,0.3333333333333333,0.10063251645970225,0.041083052809750005,0.010126903369012244,6,0.10063251645970225,0.041083052809750005,0.010126903369012244,6,0.6055300708194983,0.2472066162365221,0.36666666666666664,6,0.0779266832458324,2.4162434374136486
S004,5,Ear level,2.9,ROVED,standing,-0.06731163619710348,0.07909024165366858,0.6268971207462991,0.28035691537752366,0.39299999999999996,5,2.56,0.2161714209469997,0.09667479840604265,0.04673008323424494,5,-0.11724137931034481,0.19414742427943787,0.08682536766906324,0.03769322235434006,5,0.14482758620689656,0.12662731183285467,0.0566294554132653,0.016034476102015017,5,0.11780901347258799,0.05268579249737906,0.013878963655384416,5,0.6268971207462991,0.28035691537752366,0.39299999999999996,5,0.0779266832458324,2.4162434374136486
S004,5,Ear level,4.2,ROVED,standing,-0.20293898105400368,0.20293898105400368,0.5377421934967227,0.26887109674836135,0.28916666666666674,4,2.675,0.1280338555944578,0.0640169277972289,0.016392668178382468,4,-0.36309523809523814,0.1280338555944578,0.0640169277972289,0.016392668178382468,4,0.36309523809523814,0.09156687270364301,0.045783436351821506,0.008384492176725164,4,0.09156687270364301,0.045783436351821506,0.008384492176725164,4,0.5377421934967227,0.26887109674836135,0.28916666666666674,4,0.0779266832458324,2.4162434374136486
S004,5,Ear level,6,ROVED,standing,-0.31126050015345746,0.31126050015345746,0.260768096208106,0.11661903789690602,0.06800000000000002,5,2.94,0.04346134936801769,0.019436506316151014,0.0018888888888888913,5,-0.51,0.04346134936801769,0.019436506316151014,0.0018888888888888913,5,0.51,0.04041028013317708,0.01807202667351864,0.001632990740441846,5,0.04041028013317708,0.01807202667351864,0.001632990740441846,5,0.260768096208106,0.11661903789690602,0.06800000000000002,5,0.0779266832458324,2.4162434374136486
S005,0,Floor level,2,NORMAL,standing,-0.2716814524880343,0.2716814524880343,0.5163977794943222,0.21081851067789195,0.26666666666666666,6,1.1666666666666667,0.2581988897471611,0.10540925533894598,0.06666666666666667,6,-0.4166666666666667,0.2581988897471611,0.10540925533894598,0.06666666666666667,6,0.4166666666666667,0.20350834192996886,0.08308193268804509,0.041415645235085126,6,0.20350834192996886,0.08308193268804509,0.041415645235085126,6,0.5163977794943222,0.21081851067789195,0.26666666666666666,6,0.20134475453624381,1.1565902182923467
S005,0,Floor level,2.9,NORMAL,standing,-0.19196149427668358,0.19196149427668358,0.4183300132670378,0.18708286933869706,0.175,5,1.9,0.14425172871277164,0.06451133425472312,0.020808561236623068,5,-0.3448275862068965,0.14425172871277164,0.06451133425472312,0.020808561236623068,5,0.3448275862068965,0.0947775258899064,0.04238579812581539,0.008982779413811877,5,0.0947775258899064,0.04238579812581539,0.008982779413811877,5,0.4183300132670378,0.18708286933869706,0.175,5,0.20134475453624381,1.1565902182923467
S005,0,Floor level,4.2,NORMAL,standing,-0.2130187859084242,0.2130187859084242,0.4183300132670378,0.18708286933869706,0.175,5,2.6,0.09960238411119945,0.04454354031873739,0.009920634920634918,5,-0.380952380952381,0.09960238411119945,0.04454354031873739,0.009920634920634918,5,0.380952380952381,0.07275920669464844,0.032538906431638336,0.0052939021588345745,5,0.07275920669464844,0.032538906431638336,0.0052939021588345745,5,0.4183300132670378,0.18708286933869706,0.175,5,0.20134475453624381,1.1565902182923467
S005,0,Floor level,6,NORMAL,standing,-0.47712125471966244,0.47712125471966244,0,0,0,4,2,0,0,0,4,-0.6666666666666666,0,0,0,4,0.6666666666666666,0,0,0,4,0,0,0,4,0,0,0,4,0.20134475453624381,1.1565902182923467
S005,2,Floor level,2,ROVED,standing,-0.2305934920417087,0.2305934920417087,0.27386127875258304,0.12247448713915889,0.075,5,1.2,0.13693063937629152,0.06123724356957944,0.01875,5,-0.4,0.13693063937629152,0.06123724356957944,0.01875,5,0.4,0.09644915476428248,0.04313337328506667,0.009302439454744514,5,0.09644915476428248,0.04313337328506667,0.009302439454744514,5,0.27386127875258304,0.12247448713915889,0.075,5,0.3438104448742746,0.7583655705996135
S005,2,Floor level,2.9,ROVED,standing,-0.18635574955663486,0.18635574955663486,0.22360679774997896,0.09999999999999999,0.05,5,1.9,0.07710579232757896,0.034482758620689655,0.005945303210463735,5,-0.3448275862068965,0.07710579232757896,0.034482758620689655,0.005945303210463735,5,0.3448275862068965,0.055874301615820056,0.024987747321659995,0.003121937581055632,5,0.055874301615820056,0.024987747321659995,0.003121937581055632,5,0.22360679774997896,0.09999999999999999,0.05,5,0.3438104448742746,0.7583655705996135
S005,2,Floor level,4.2,ROVED,standing,-0.23121887071267339,0.23121887071267339,0.44721359549995793,0.18257418583505539,0.2,6,2.5,0.10647942749998998,0.043470044246441755,0.011337868480725622,6,-0.40476190476190477,0.10647942749998998,0.043470044246441755,0.011337868480725622,6,0.40476190476190477,0.07888333314686209,0.03220398590329783,0.006222580248358831,6,0.07888333314686209,0.03220398590329783,0.006222580248358831,6,0.44721359549995793,0.18257418583505539,0.2,6,0.3438104448742746,0.7583655705996135
S005,2,Floor level,6,ROVED,standing,-0.3604159301996998,0.3604159301996998,0.25,0.125,0.0625,4,2.625,0.041666666666666685,0.020833333333333343,0.0017361111111111127,4,-0.5625,0.041666666666666685,0.020833333333333343,0.0017361111111111127,4,0.5625,0.039590623023812416,0.019795311511906208,0.0015674174314136257,4,0.039590623023812416,0.019795311511906208,0.0015674174314136257,4,0.25,0.125,0.0625,4,0.3438104448742746,0.7583655705996135
S005,3,Ear level,2,NORMAL,standing,-0.049975494643319976,0.049975494643319976,0.27386127875258304,0.12247448713915889,0.075,5,1.8,0.13693063937629152,0.06123724356957944,0.01875,5,-0.1,0.13693063937629152,0.06123724356957944,0.01875,5,0.1,0.06843176434656237,0.030603615379831986,0.004682906371583445,5,0.06843176434656237,0.030603615379831986,0.004682906371583445,5,0.27386127875258304,0.12247448713915889,0.075,5,0.3374965460071843,1.1409505388228793
S005,3,Ear level,2.9,NORMAL,standing,-0.16697374695502357,0.16697374695502357,0.3535533905932738,0.15811388300841897,0.125,5,2,0.12191496227354268,0.05452202862359275,0.014863258026159334,5,-0.31034482758620685,0.12191496227354268,0.05452202862359275,0.014863258026159334,5,0.31034482758620685,0.07881008288469193,0.03524494052851278,0.006211029164292013,5,0.07881008288469193,0.03524494052851278,0.006211029164292013,5,0.3535533905932738,0.15811388300841897,0.125,5,0.3374965460071843,1.1409505388228793
S005,3,Ear level,4.2,NORMAL,standing,-0.1802474253806903,0.1802474253806903,0.44721359549995793,0.19999999999999998,0.2,5,2.8,0.10647942749998997,0.04761904761904761,0.01133786848072562,5,-0.33333333333333337,0.10647942749998997,0.04761904761904761,0.01133786848072562,5,0.33333333333333337,0.06608747621612975,0.029555217856133336,0.0043675545126175145,5,0.06608747621612975,0.029555217856133336,0.0043675545126175145,5,0.44721359549995793,0.19999999999999998,0.2,5,0.3374965460071843,1.1409505388228793
S005,3,Ear level,6,NORMAL,standing,-0.2927514586323362,0.2927514586323362,0.1341640786499873,0.05999999999999996,0.017999999999999978,5,3.06,0.022360679774997894,0.009999999999999998,4.999999999999998e-4,5,-0.49,0.022360679774997894,0.009999999999999998,4.999999999999998e-4,5,0.49,0.018511371557007536,0.008278537031644995,3.426708769215876e-4,5,0.018511371557007536,0.008278537031644995,3.426708769215876e-4,5,0.1341640786499873,0.05999999999999996,0.017999999999999978,5,0.3374965460071843,1.1409505388228793
S005,5,Ear level,2,ROVED,standing,-0.049975494643319976,0.049975494643319976,0.27386127875258304,0.12247448713915889,0.075,5,1.8,0.13693063937629152,0.06123724356957944,0.01875,5,-0.1,0.13693063937629152,0.06123724356957944,0.01875,5,0.1,0.06843176434656237,0.030603615379831986,0.004682906371583445,5,0.06843176434656237,0.030603615379831986,0.004682906371583445,5,0.27386127875258304,0.12247448713915889,0.075,5,0.26984894538086,1.295903564520587
S005,5,Ear level,2.9,ROVED,standing,-0.1452163334002988,0.1452163334002988,0.2041241452319315,0.08333333333333334,0.041666666666666664,6,2.0833333333333335,0.07038763628687293,0.02873563218390805,0.0049544193420531105,6,-0.2816091954022988,0.07038763628687293,0.02873563218390805,0.0049544193420531105,6,0.2816091954022988,0.03956334713936975,0.01615166883467607,0.0015652584368702769,6,0.03956334713936975,0.01615166883467607,0.0015652584368702769,6,0.2041241452319315,0.08333333333333334,0.041666666666666664,6,0.26984894538086,1.295903564520587
S005,5,Ear level,4.2,ROVED,standing,-0.2324007885100355,0.2324007885100355,0.5,0.22360679774997896,0.25,5,2.5,0.11904761904761904,0.053239713749994984,0.014172335600907028,5,-0.40476190476190477,0.11904761904761904,0.053239713749994984,0.014172335600907028,5,0.40476190476190477,0.0881348304465983,0.03941509441280239,0.007767748337850629,5,0.0881348304465983,0.03941509441280239,0.007767748337850629,5,0.5,0.22360679774997896,0.25,5,0.26984894538086,1.295903564520587
S005,5,Ear level,6,ROVED,standing,-0.3208253071758874,0.3208253071758874,0.25,0.125,0.0625,4,2.875,0.041666666666666685,0.020833333333333343,0.0017361111111111127,4,-0.5208333333333334,0.041666666666666685,0.020833333333333343,0.0017361111111111127,4,0.5208333333333334,0.039590623023812416,0.019795311511906208,0.0015674174314136257,4,0.039590623023812416,0.019795311511906208,0.0015674174314136257,4,0.25,0.125,0.0625,4,0.26984894538086,1.295903564520587
S006,0,Floor level,2,NORMAL,standing,-0.3010299956639812,0.3010299956639812,0,0,0,4,1,0,0,0,4,-0.5,0,0,0,4,0.5,0,0,0,4,0,0,0,4,0,0,0,4,0.4930091185410336,0.3038905775075978
S006,0,Floor level,2.9,NORMAL,standing,-0.18219112500302487,0.18709887727659363,0.6324555320336759,0.25819888974716115,0.4,6,2,0.218088114494371,0.08903409991281419,0.04756242568370987,6,-0.31034482758620685,0.19708538160324418,0.08045977011494253,0.038842647641696385,6,0.3218390804597701,0.1542890632250983,0.06298824629891726,0.02380511503087838,6,0.14707227615334426,0.06004200531423196,0.021630254412925553,6,0.6324555320336759,0.25819888974716115,0.4,6,0.4930091185410336,0.3038905775075978
S006,0,Floor level,4.2,NORMAL,standing,-0.22625386511480183,0.22625386511480183,0.6655824516917495,0.2976575213227443,0.443,5,2.56,0.1584720123075594,0.07087083841017722,0.025113378684807255,5,-0.39047619047619053,0.1584720123075594,0.07087083841017722,0.025113378684807255,5,0.39047619047619053,0.10921656701107696,0.04884313362118582,0.011928258509685064,5,0.10921656701107696,0.04884313362118582,0.011928258509685064,5,0.6655824516917495,0.2976575213227443,0.443,5,0.4930091185410336,0.3038905775075978
S006,0,Floor level,6,NORMAL,standing,-0.28764063773785853,0.28764063773785853,0.22360679774997896,0.09999999999999999,0.05,5,3.1,0.03726779962499649,0.016666666666666663,0.0013888888888888883,5,-0.48333333333333334,0.03726779962499649,0.016666666666666663,0.0013888888888888883,5,0.48333333333333334,0.029939514497885844,0.013389357926122645,8.963745283691167e-4,5,0.029939514497885844,0.013389357926122645,8.963745283691167e-4,5,0.22360679774997896,0.09999999999999999,0.05,5,0.4930091185410336,0.3038905775075978
S006,2,Floor level,2,ROVED,standing,-0.22577249674798588,0.22577249674798588,0.5,0.25,0.25,4,1.25,0.25,0.125,0.0625,4,-0.375,0.25,0.125,0.0625,4,0.375,0.1505149978319906,0.0752574989159953,0.022654764572364136,4,0.1505149978319906,0.0752574989159953,0.022654764572364136,4,0.5,0.25,0.25,4,0.37970894353873097,0.8874320714746233
S006,2,Floor level,2.9,ROVED,standing,-0.1261497504238386,0.13203905315212117,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.1542115846551579,0.06896551724137931,0.023781212841854932,5,-0.24137931034482754,0.12336926772412629,0.05517241379310343,0.01521997621878715,5,0.2551724137931034,0.07875040509840574,0.03521825181113625,0.006201626303163008,5,0.06558152385789098,0.029328949082853696,0.004300936271523123,5,0.44721359549995793,0.19999999999999998,0.2,5,0.37970894353873097,0.8874320714746233
S006,2,Floor level,4.2,ROVED,standing,-0.146128035678238,0.146128035678238,0,0,0,5,3,0,0,0,5,-0.28571428571428575,0,0,0,5,0.28571428571428575,0,0,0,5,0,0,0,5,0,0,0,5,0.37970894353873097,0.8874320714746233
