nsub,bloque,altura,condicion,itrial,distancia,respuesta
10.0,3.0,1.0,0.0,1.0,2.0,3.0
10.0,3.0,1.0,0.0,4.0,6.0,5.0
10.0,3.0,1.0,0.0,4.0,6.0,4.0
10.0,3.0,1.0,0.0,4.0,6.0,5.5
10.0,3.0,1.0,0.0,4.0,6.0,3.0
10.0,3.0,1.0,0.0,2.0,2.9,4.5
10.0,3.0,1.0,0.0,3.0,4.2,2.0
10.0,3.0,1.0,0.0,1.0,2.0,4.0
10.0,3.0,1.0,0.0,2.0,2.9,4.5
10.0,3.0,1.0,0.0,4.0,6.0,5.5
10.0,3.0,1.0,0.0,3.0,4.2,2.5
10.0,3.0,1.0,0.0,1.0,2.0,6.5
10.0,3.0,1.0,0.0,3.0,4.2,3.5
10.0,3.0,1.0,0.0,2.0,2.9,6.8
10.0,3.0,1.0,0.0,1.0,2.0,4.5
10.0,3.0,1.0,0.0,3.0,4.2,5.0
10.0,3.0,1.0,0.0,3.0,4.2,4.5
10.0,3.0,1.0,0.0,1.0,2.0,6.0
10.0,3.0,1.0,0.0,2.0,2.9,5.8
10.0,3.0,1.0,0.0,2.0,2.9,4.0
