nsub,bloque,altura,condicion,itrial,distancia,respuesta
11.0,0.0,0.0,0.0,3.0,4.2,3.8
11.0,0.0,0.0,0.0,2.0,2.9,2.0
11.0,0.0,0.0,0.0,4.0,6.0,3.0
11.0,0.0,0.0,0.0,1.0,2.0,1.0
11.0,0.0,0.0,0.0,4.0,6.0,4.8
11.0,0.0,0.0,0.0,4.0,6.0,6.0
11.0,0.0,0.0,0.0,3.0,4.2,2.0
11.0,0.0,0.0,0.0,4.0,6.0,5.6
11.0,0.0,0.0,0.0,1.0,2.0,1.0
11.0,0.0,0.0,0.0,1.0,2.0,1.0
11.0,0.0,0.0,0.0,2.0,2.9,1.5
11.0,0.0,0.0,0.0,3.0,4.2,3.0
11.0,0.0,0.0,0.0,4.0,6.0,6.0
11.0,0.0,0.0,0.0,2.0,2.9,3.0
11.0,0.0,0.0,0.0,2.0,2.9,3.0
11.0,0.0,0.0,0.0,1.0,2.0,1.0
11.0,0.0,0.0,0.0,3.0,4.2,4.0
11.0,0.0,0.0,0.0,3.0,4.2,3.5
11.0,0.0,0.0,0.0,3.0,4.2,4.0
11.0,0.0,0.0,0.0,1.0,2.0,1.0
