nsub,bloque,altura,condicion,itrial,distancia,respuesta
15.0,2.0,0.0,2.0,1.0,2.0,1.0
15.0,2.0,0.0,2.0,1.0,2.0,1.0
15.0,2.0,0.0,2.0,4.0,6.0,2.0
15.0,2.0,0.0,2.0,3.0,4.2,1.5
15.0,2.0,0.0,2.0,2.0,2.9,1.3
15.0,2.0,0.0,2.0,4.0,6.0,2.2
15.0,2.0,0.0,2.0,1.0,2.0,0.55
15.0,2.0,0.0,2.0,3.0,4.2,1.0
15.0,2.0,0.0,2.0,2.0,2.9,2.0
15.0,2.0,0.0,2.0,3.0,4.2,1.2
15.0,2.0,0.0,2.0,1.0,2.0,1.0
15.0,2.0,0.0,2.0,4.0,6.0,3.0
15.0,2.0,0.0,2.0,2.0,2.9,1.0
15.0,2.0,0.0,2.0,3.0,4.2,2.0
15.0,2.0,0.0,2.0,2.0,2.9,1.8
15.0,2.0,0.0,2.0,1.0,2.0,0.6
15.0,2.0,0.0,2.0,4.0,6.0,4.0
15.0,2.0,0.0,2.0,3.0,4.2,1.0
15.0,2.0,0.0,2.0,4.0,6.0,1.0
15.0,2.0,0.0,2.0,1.0,2.0,1.0
