nsub,bloque,altura,condicion,itrial,distancia,respuesta
12.0,5.0,1.0,2.0,1.0,2.0,1.0
12.0,5.0,1.0,2.0,3.0,4.2,4.0
12.0,5.0,1.0,2.0,1.0,2.0,6.0
12.0,5.0,1.0,2.0,4.0,6.0,8.0
12.0,5.0,1.0,2.0,2.0,2.9,4.0
12.0,5.0,1.0,2.0,2.0,2.9,4.0
12.0,5.0,1.0,2.0,1.0,2.0,12.0
12.0,5.0,1.0,2.0,2.0,2.9,12.0
12.0,5.0,1.0,2.0,2.0,2.9,10.0
12.0,5.0,1.0,2.0,2.0,2.9,4.0
12.0,5.0,1.0,2.0,3.0,4.2,8.0
12.0,5.0,1.0,2.0,4.0,6.0,2.0
12.0,5.0,1.0,2.0,3.0,4.2,1.0
12.0,5.0,1.0,2.0,1.0,2.0,3.0
12.0,5.0,1.0,2.0,1.0,2.0,3.0
12.0,5.0,1.0,2.0,4.0,6.0,6.0
12.0,5.0,1.0,2.0,1.0,2.0,13.0
12.0,5.0,1.0,2.0,3.0,4.2,10.0
12.0,5.0,1.0,2.0,4.0,6.0,5.0
12.0,5.0,1.0,2.0,4.0,6.0,3.0
