nsub,bloque,altura,condicion,itrial,distancia,respuesta
4.0,0.0,0.0,0.0,4.0,6.0,2.5
4.0,0.0,0.0,0.0,1.0,2.0,0.6
4.0,0.0,0.0,0.0,4.0,6.0,2.0
4.0,0.0,0.0,0.0,2.0,2.9,1.5
4.0,0.0,0.0,0.0,1.0,2.0,0.7
4.0,0.0,0.0,0.0,3.0,4.2,2.0
4.0,0.0,0.0,0.0,3.0,4.2,2.5
4.0,0.0,0.0,0.0,2.0,2.9,1.5
4.0,0.0,0.0,0.0,4.0,6.0,3.0
4.0,0.0,0.0,0.0,2.0,2.9,1.8
4.0,0.0,0.0,0.0,2.0,2.9,1.5
4.0,0.0,0.0,0.0,1.0,2.0,1.2
4.0,0.0,0.0,0.0,3.0,4.2,2.0
4.0,0.0,0.0,0.0,4.0,6.0,3.0
4.0,0.0,0.0,0.0,4.0,6.0,3.0
4.0,0.0,0.0,0.0,4.0,6.0,3.0
4.0,0.0,0.0,0.0,1.0,2.0,1.5
4.0,0.0,0.0,0.0,1.0,2.0,1.2
4.0,0.0,0.0,0.0,2.0,2.9,1.5
4.0,0.0,0.0,0.0,3.0,4.2,2.5
