nsub,bloque,altura,condicion,itrial,distancia,respuesta
22.0,3.0,1.0,0.0,1.0,2.0,1.0
22.0,3.0,1.0,0.0,4.0,6.0,1.5
22.0,3.0,1.0,0.0,2.0,2.9,1.5
22.0,3.0,1.0,0.0,4.0,6.0,2.5
22.0,3.0,1.0,0.0,2.0,2.9,1.0
22.0,3.0,1.0,0.0,3.0,4.2,3.0
22.0,3.0,1.0,0.0,4.0,6.0,3.5
22.0,3.0,1.0,0.0,3.0,4.2,2.1
22.0,3.0,1.0,0.0,3.0,4.2,1.0
22.0,3.0,1.0,0.0,3.0,4.2,1.5
22.0,3.0,1.0,0.0,2.0,2.9,1.7
22.0,3.0,1.0,0.0,3.0,4.2,1.3
22.0,3.0,1.0,0.0,1.0,2.0,1.0
22.0,3.0,1.0,0.0,1.0,2.0,1.2
22.0,3.0,1.0,0.0,1.0,2.0,1.0
22.0,3.0,1.0,0.0,4.0,6.0,2.0
22.0,3.0,1.0,0.0,2.0,2.9,2.0
22.0,3.0,1.0,0.0,4.0,6.0,2.5
22.0,3.0,1.0,0.0,1.0,2.0,1.0
22.0,3.0,1.0,0.0,2.0,2.9,1.5
