nsub,bloque,altura,condicion,itrial,distancia,respuesta
3.0,5.0,1.0,2.0,4.0,6.0,7.0
3.0,5.0,1.0,2.0,1.0,2.0,3.0
3.0,5.0,1.0,2.0,4.0,6.0,5.0
3.0,5.0,1.0,2.0,2.0,2.9,7.0
3.0,5.0,1.0,2.0,2.0,2.9,4.0
3.0,5.0,1.0,2.0,3.0,4.2,2.0
3.0,5.0,1.0,2.0,1.0,2.0,9.0
3.0,5.0,1.0,2.0,1.0,2.0,8.0
3.0,5.0,1.0,2.0,1.0,2.0,6.0
3.0,5.0,1.0,2.0,2.0,2.9,3.0
3.0,5.0,1.0,2.0,4.0,6.0,7.0
3.0,5.0,1.0,2.0,4.0,6.0,6.0
3.0,5.0,1.0,2.0,3.0,4.2,10.0
3.0,5.0,1.0,2.0,3.0,4.2,2.0
3.0,5.0,1.0,2.0,3.0,4.2,12.0
3.0,5.0,1.0,2.0,1.0,2.0,13.0
3.0,5.0,1.0,2.0,4.0,6.0,2.0
3.0,5.0,1.0,2.0,4.0,6.0,15.0
3.0,5.0,1.0,2.0,2.0,2.9,5.0
3.0,5.0,1.0,2.0,3.0,4.2,14.0
