nsub,bloque,altura,condicion,itrial,distancia,respuesta
15.0,0.0,0.0,0.0,3.0,4.2,1.1
15.0,0.0,0.0,0.0,1.0,2.0,1.0
15.0,0.0,0.0,0.0,2.0,2.9,1.5
15.0,0.0,0.0,0.0,4.0,6.0,4.0
15.0,0.0,0.0,0.0,4.0,6.0,4.0
15.0,0.0,0.0,0.0,3.0,4.2,2.4
15.0,0.0,0.0,0.0,3.0,4.2,2.0
15.0,0.0,0.0,0.0,4.0,6.0,3.8
15.0,0.0,0.0,0.0,3.0,4.2,2.0
15.0,0.0,0.0,0.0,3.0,4.2,2.15
15.0,0.0,0.0,0.0,2.0,2.9,1.8
15.0,0.0,0.0,0.0,2.0,2.9,2.25
15.0,0.0,0.0,0.0,1.0,2.0,1.0
15.0,0.0,0.0,0.0,1.0,2.0,1.5
15.0,0.0,0.0,0.0,1.0,2.0,1.6
15.0,0.0,0.0,0.0,1.0,2.0,1.7
15.0,0.0,0.0,0.0,4.0,6.0,3.8
15.0,0.0,0.0,0.0,4.0,6.0,3.5
15.0,0.0,0.0,0.0,2.0,2.9,1.9
15.0,0.0,0.0,0.0,3.0,4.2,3.3
