nsub,bloque,altura,condicion,itrial,distancia,respuesta
3.0,3.0,1.0,0.0,2.0,2.9,3.0
3.0,3.0,1.0,0.0,4.0,6.0,0.07
3.0,3.0,1.0,0.0,2.0,2.9,4.0
3.0,3.0,1.0,0.0,3.0,4.2,1.0
3.0,3.0,1.0,0.0,3.0,4.2,5.0
3.0,3.0,1.0,0.0,2.0,2.9,7.0
3.0,3.0,1.0,0.0,2.0,2.9,0.06
3.0,3.0,1.0,0.0,3.0,4.2,0.11
3.0,3.0,1.0,0.0,1.0,2.0,0.1
3.0,3.0,1.0,0.0,4.0,6.0,7.0
3.0,3.0,1.0,0.0,1.0,2.0,2.0
3.0,3.0,1.0,0.0,4.0,6.0,13.0
3.0,3.0,1.0,0.0,4.0,6.0,15.0
3.0,3.0,1.0,0.0,1.0,2.0,14.0
3.0,3.0,1.0,0.0,3.0,4.2,13.0
3.0,3.0,1.0,0.0,1.0,2.0,17.0
3.0,3.0,1.0,0.0,4.0,6.0,20.0
3.0,3.0,1.0,0.0,1.0,2.0,7.0
3.0,3.0,1.0,0.0,3.0,4.2,4.0
3.0,3.0,1.0,0.0,2.0,2.9,3.0
