nsub,bloque,altura,condicion,itrial,distancia,respuesta
21.0,5.0,1.0,2.0,2.0,2.9,3.0
21.0,5.0,1.0,2.0,2.0,2.9,2.0
21.0,5.0,1.0,2.0,1.0,2.0,2.0
21.0,5.0,1.0,2.0,1.0,2.0,2.2
21.0,5.0,1.0,2.0,2.0,2.9,2.7
21.0,5.0,1.0,2.0,3.0,4.2,2.8
21.0,5.0,1.0,2.0,3.0,4.2,3.0
21.0,5.0,1.0,2.0,3.0,4.2,3.2
21.0,5.0,1.0,2.0,2.0,2.9,2.5
21.0,5.0,1.0,2.0,2.0,2.9,3.0
21.0,5.0,1.0,2.0,1.0,2.0,2.0
21.0,5.0,1.0,2.0,4.0,6.0,2.7
21.0,5.0,1.0,2.0,3.0,4.2,3.0
21.0,5.0,1.0,2.0,1.0,2.0,3.0
21.0,5.0,1.0,2.0,3.0,4.2,2.7
21.0,5.0,1.0,2.0,4.0,6.0,3.0
21.0,5.0,1.0,2.0,2.0,2.9,2.5
21.0,5.0,1.0,2.0,1.0,2.0,2.5
21.0,5.0,1.0,2.0,4.0,6.0,3.0
21.0,5.0,1.0,2.0,4.0,6.0,2.7
