subject,block,condition,target_distance,type,percived_distance,rel_bias,abs_bias,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
S011,0,Floor level,2.9,NORMAL,2.375,-0.18103448275862066,-0.5249999999999999,0.75,0.375,0.5625,4,2.375,0.25862068965517243,0.12931034482758622,0.066884661117717,4,-0.18103448275862066,0.75,0.375,0.5625,4
S012,0,Floor level,2.9,NORMAL,3,0.03448275862068968,0.10000000000000009,1.4142135623730951,0.6324555320336759,2,5,3,0.4876598490941707,0.218088114494371,0.23781212841854935,5,0.03448275862068968,1.4142135623730951,0.6324555320336759,2,5
S013,0,Floor level,2.9,NORMAL,1.66,-0.4275862068965517,-1.24,1.0699948078794068,0.3383620677453205,1.1448888888888888,10,1.66,0.3689637268549679,0.1166765750845933,0.13613423173470737,10,-0.4275862068965517,1.0699948078794068,0.3383620677453205,1.1448888888888888,10
S015,0,Floor level,2.9,NORMAL,2.18125,-0.24784482758620688,-0.7187499999999999,0.933479474102901,0.3300348331183067,0.8713839285714285,8,2.18125,0.3218894738285865,0.11380511486838162,0.1036128333616443,8,-0.24784482758620688,0.933479474102901,0.3300348331183067,0.8713839285714285,8
S017,0,Floor level,2.9,NORMAL,3,0.03448275862068969,0.10000000000000009,0.7071067811865476,0.31622776601683794,0.5,5,3,0.24382992454708535,0.1090440572471855,0.059453032104637336,5,0.03448275862068969,0.7071067811865476,0.31622776601683794,0.5,5
S018,0,Floor level,2.9,NORMAL,3.1666666666666665,0.09195402298850579,0.2666666666666668,0.983192080250175,0.4013864859597432,0.9666666666666667,6,3.1666666666666665,0.3390317518104052,0.13840913308956662,0.11494252873563218,6,0.09195402298850579,0.983192080250175,0.4013864859597432,0.9666666666666667,6
S001,3,Ear level,4.2,NORMAL,2.308,-0.4504761904761905,-1.8920000000000001,2.2702797184488084,1.0152999556781237,5.15417,5,2.308,0.5405427901068591,0.24173808468526756,0.2921865079365079,5,-0.4504761904761905,2.2702797184488084,1.0152999556781237,5.15417,5
S002,3,Ear level,4.2,NORMAL,1.24,-0.7047619047619048,-2.96,0.3577708763999664,0.16000000000000003,0.12800000000000003,5,1.24,0.08518354199999198,0.03809523809523809,0.007256235827664397,5,-0.7047619047619048,0.3577708763999664,0.16000000000000003,0.12800000000000006,5
S003,3,Ear level,4.2,NORMAL,4.622,0.10047619047619051,0.42200000000000004,5.103863242681959,2.282517031699873,26.04942,5,4.622,1.215205533971895,0.5434564361190174,1.4767244897959184,5,0.10047619047619051,5.103863242681959,2.282517031699873,26.04942,5
S004,3,Ear level,4.2,NORMAL,2.7,-0.35714285714285715,-1.5000000000000002,0.44721359549995793,0.19999999999999998,0.2,5,2.7,0.10647942749998998,0.047619047619047616,0.011337868480725622,5,-0.35714285714285715,0.44721359549995793,0.19999999999999998,0.2,5
S005,3,Ear level,4.2,NORMAL,2.8,-0.33333333333333337,-1.4000000000000001,0.44721359549995793,0.19999999999999998,0.2,5,2.8,0.10647942749998997,0.04761904761904761,0.01133786848072562,5,-0.33333333333333337,0.44721359549995793,0.19999999999999998,0.2,5
S006,3,Ear level,4.2,NORMAL,1.4,-0.6666666666666666,-2.8000000000000003,0.5477225575051661,0.24494897427831777,0.3,5,1.4,0.13041013273932522,0.05832118435198041,0.017006802721088426,5,-0.6666666666666666,0.5477225575051661,0.24494897427831777,0.3,5
S007,3,Ear level,4.2,NORMAL,1.8,-0.5714285714285714,-2.4000000000000004,0.44721359549995793,0.19999999999999998,0.2,5,1.8,0.10647942749998995,0.0476190476190476,0.011337868480725617,5,-0.5714285714285714,0.44721359549995793,0.19999999999999998,0.2,5
S008,3,Ear level,4.2,NORMAL,2.6,-0.380952380952381,-1.6,0.8944271909999159,0.39999999999999997,0.8,5,2.6,0.21295885499997996,0.09523809523809523,0.045351473922902494,5,-0.380952380952381,0.8944271909999159,0.39999999999999997,0.8,5
S009,3,Ear level,4.2,NORMAL,1.32,-0.6857142857142857,-2.8800000000000003,0.303315017762062,0.13564659966250533,0.09199999999999998,5,1.32,0.07221786137191953,0.03229680944345366,0.005215419501133786,5,-0.6857142857142857,0.3033150177620621,0.1356465996625054,0.09200000000000004,5
S010,3,Ear level,4.2,NORMAL,3.5,-0.16666666666666669,-0.7000000000000002,1.2747548783981961,0.5700877125495689,1.625,5,3.5,0.3035130662852848,0.13573516965465926,0.09212018140589569,5,-0.16666666666666669,1.2747548783981961,0.5700877125495689,1.625,5
S011,3,Ear level,4.2,NORMAL,2.3,-0.4523809523809524,-1.9000000000000001,0.44721359549995793,0.19999999999999998,0.2,5,2.3,0.10647942749998998,0.047619047619047616,0.011337868480725623,5,-0.4523809523809524,0.44721359549995793,0.19999999999999998,0.2,5
S012,3,Ear level,4.2,NORMAL,6.6,0.5714285714285714,2.4,1.3416407864998738,0.6,1.8,5,6.6,0.3194382824999699,0.14285714285714282,0.1020408163265306,5,0.5714285714285714,1.3416407864998738,0.6,1.8,5
S013,3,Ear level,4.2,NORMAL,0.81,-0.8285714285714285,-3.4800000000000004,0.5216427044549853,0.1649579070887816,0.27211111111111114,10,0.81,0.14484942355827665,0.045805409620660556,0.020981355505165035,10,-0.8285714285714285,0.608367578944762,0.19238272040677437,0.3701111111111112,10
S015,3,Ear level,4.2,NORMAL,1.9949999999999999,-0.525,-2.205,0.6660205202043953,0.21061418122560818,0.4435833333333333,10,1.9949999999999999,0.1585763143343798,0.050146233625144795,0.02514644746787603,10,-0.525,0.6660205202043952,0.21061418122560815,0.4435833333333332,10
S017,3,Ear level,4.2,NORMAL,4.4,0.047619047619047575,0.19999999999999982,1.140175425099138,0.5099019513592785,1.3,5,4.4,0.2714703393093186,0.12140522651411392,0.07369614512471655,5,0.047619047619047575,1.140175425099138,0.5099019513592785,1.3,5
S018,3,Ear level,4.2,NORMAL,2.4,-0.4285714285714286,-1.8000000000000003,0.8944271909999159,0.39999999999999997,0.8,5,2.4,0.21295885499997996,0.09523809523809523,0.045351473922902494,5,-0.4285714285714286,0.8944271909999159,0.39999999999999997,0.8,5
S001,0,Floor level,4.2,NORMAL,0.364,-0.9133333333333333,-3.8360000000000003,0.14825653442597397,0.066302337817003107,0.021980000000000003,5,0.364,0.03529917486332713,0.01578627090881026,0.0012460317460317456,5,-0.9133333333333333,0.1482565344259739,0.06630233781700308,0.021979999999999982,5
S002,0,Floor level,4.2,NORMAL,1.54,-0.6333333333333334,-2.66,0.260768096208106,0.11661903789690602,0.06800000000000002,5,1.54,0.062087641954310914,0.02776643759450142,0.003854875283446709,5,-0.6333333333333334,0.2607680962081058,0.11661903789690595,0.06799999999999994,5
S003,0,Floor level,4.2,NORMAL,3.6666666666666665,-0.126984126984127,-0.5333333333333335,1.8618986725025255,0.760116950066092,3.466666666666667,6,3.6666666666666665,0.44330920773869653,0.18098022620621237,0.19652305366591077,6,-0.126984126984127,1.8618986725025255,0.760116950066092,3.466666666666667,6
S004,0,Floor level,4.2,NORMAL,2.25,-0.4642857142857143,-1.9500000000000002,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,2.25,0.06873217490352689,0.03436608745176344,0.004724111866969012,4,-0.4642857142857143,0.28867513459481287,0.14433756729740643,0.08333333333333333,4
S005,0,Floor level,4.2,NORMAL,2.6,-0.380952380952381,-1.6,0.4183300132670378,0.18708286933869706,0.175,5,2.6,0.09960238411119945,0.04454354031873739,0.009920634920634918,5,-0.380952380952381,0.4183300132670378,0.18708286933869706,0.175,5
S006,0,Floor level,4.2,NORMAL,2.56,-0.39047619047619053,-1.6400000000000001,0.6655824516917495,0.2976575213227443,0.443,5,2.56,0.1584720123075594,0.07087083841017722,0.025113378684807255,5,-0.39047619047619053,0.6655824516917495,0.2976575213227443,0.443,5
S007,0,Floor level,4.2,NORMAL,1.8333333333333333,-0.5634920634920635,-2.3666666666666667,0.5163977794943222,0.21081851067789195,0.26666666666666666,6,1.8333333333333333,0.1229518522605529,0.05019488349473618,0.015117157974300828,6,-0.5634920634920635,0.5163977794943222,0.21081851067789195,0.26666666666666666,6
S008,0,Floor level,4.2,NORMAL,2.75,-0.3452380952380953,-1.4500000000000002,1.5,0.75,2.25,4,2.75,0.35714285714285715,0.17857142857142858,0.12755102040816327,4,-0.3452380952380953,1.5,0.75,2.25,4
S009,0,Floor level,4.2,NORMAL,2.56,-0.3904761904761905,-1.6400000000000001,0.49799598391954925,0.22271057451320084,0.24799999999999997,5,2.56,0.11857047236179744,0.053026327265047815,0.014058956916099768,5,-0.3904761904761905,0.49799598391954925,0.22271057451320084,0.24799999999999997,5
S010,0,Floor level,4.2,NORMAL,3.8,-0.09523809523809527,-0.4000000000000002,1.2549900398011133,0.5612486080160912,1.575,5,3.8,0.2988071523335984,0.13363062095621217,0.08928571428571429,5,-0.09523809523809527,1.2549900398011133,0.5612486080160912,1.575,5
S011,0,Floor level,4.2,NORMAL,3.3833333333333333,-0.19444444444444448,-0.8166666666666669,0.7756717518813397,0.3166666666666667,0.6016666666666667,6,3.3833333333333333,0.18468375044793803,0.0753968253968254,0.03410808767951625,6,-0.19444444444444448,0.7756717518813397,0.3166666666666667,0.6016666666666667,6
S012,0,Floor level,4.2,NORMAL,5.5,0.3095238095238095,1.2999999999999998,0.5773502691896257,0.28867513459481287,0.3333333333333333,4,5.5,0.13746434980705374,0.06873217490352687,0.018896447467876033,4,0.3095238095238095,0.5773502691896257,0.28867513459481287,0.3333333333333333,4
S013,0,Floor level,4.2,NORMAL,3.4,-0.19047619047619052,-0.8000000000000002,0.699205898780101,0.22110831935702663,0.4888888888888889,10,3.4,0.1664775949476431,0.052644837942149206,0.027714789619551525,10,-0.19047619047619052,0.699205898780101,0.22110831935702663,0.4888888888888889,10
S015,0,Floor level,4.2,NORMAL,2.2041666666666666,-0.47519841269841273,-1.9958333333333336,0.7027408462368592,0.20286380837269805,0.4938446969696969,12,2.2041666666666666,0.16731924910401408,0.04830090675540429,0.027995731120731115,12,-0.47519841269841273,0.7027408462368592,0.20286380837269805,0.4938446969696969,12
S017,0,Floor level,4.2,NORMAL,4,-0.04761904761904766,-0.20000000000000018,1,0.44721359549995793,1,5,4,0.2380952380952381,0.10647942749998998,0.05668934240362812,5,-0.04761904761904766,1,0.44721359549995793,1,5
S018,0,Floor level,4.2,NORMAL,3.4,-0.19047619047619052,-0.8000000000000002,0.5477225575051661,0.24494897427831777,0.3,5,3.4,0.13041013273932528,0.058321184351980436,0.017006802721088437,5,-0.19047619047619052,0.5477225575051661,0.24494897427831777,0.3,5
S001,3,Ear level,6,NORMAL,3.7,-0.3833333333333333,-2.3,1.396424004376894,0.6244997998398397,1.95,5,3.7,0.2327373340628157,0.10408329997330663,0.05416666666666667,5,-0.3833333333333333,1.396424004376894,0.6244997998398397,1.95,5
S002,3,Ear level,6,NORMAL,1.5,-0.75,-4.5,0.21213203435596428,0.09486832980505139,0.045000000000000005,5,1.5,0.03535533905932734,0.015811388300841882,0.0012499999999999976,5,-0.75,0.21213203435596423,0.09486832980505136,0.04499999999999999,5
S003,3,Ear level,6,NORMAL,11.014,0.8356666666666667,5.014,7.68869169625106,3.4384874581711067,59.11598,5,11.014,1.2814486160418435,0.5730812430285178,1.6421105555555557,5,0.8356666666666667,7.68869169625106,3.4384874581711067,59.11598,5
S004,3,Ear level,6,NORMAL,3,-0.5,-3,0.5,0.22360679774997896,0.25,5,3,0.08333333333333334,0.037267799624996496,0.006944444444444446,5,-0.5,0.5,0.22360679774997896,0.25,5
S005,3,Ear level,6,NORMAL,3.06,-0.49,-2.94,0.1341640786499873,0.05999999999999996,0.017999999999999978,5,3.06,0.022360679774997894,0.009999999999999998,4.999999999999998e-4,5,-0.49,0.1341640786499873,0.05999999999999996,0.017999999999999978,5
S006,3,Ear level,6,NORMAL,2.2,-0.6333333333333333,-3.8,0.44721359549995793,0.19999999999999998,0.2,5,2.2,0.07453559924999298,0.033333333333333326,0.005555555555555553,5,-0.6333333333333333,0.44721359549995793,0.19999999999999998,0.2,5
S007,3,Ear level,6,NORMAL,3.1,-0.48333333333333334,-2.9,0.5477225575051661,0.24494897427831777,0.3,5,3.1,0.0912870929175277,0.04082482904638631,0.008333333333333337,5,-0.48333333333333334,0.5477225575051661,0.24494897427831777,0.3,5
S008,3,Ear level,6,NORMAL,3,-0.5,-3,0.7071067811865476,0.31622776601683794,0.5,5,3,0.11785113019775792,0.05270462766947299,0.013888888888888888,5,-0.5,0.7071067811865476,0.31622776601683794,0.5,5
